,title,order,body,A,B,C,D,E,resposta,resolucao
0,Questão 46 de Ciências Humanas e suas Tecnologias da prova ENEM/2022: (ENEM 2022)A dublagem é o novo,1,"<div class=""dangerous-html""><p style=""text-align:justify"">(ENEM 2022)</p><p style=""text-align:justify"">A dublagem é o novo campo a ser explorado pela inteligência artificial, e há empresas dedicadas a fazer com que as vozes originais de atores sejam transpostas para outros idiomas. A novidade reforça a tendência da automação de postos de trabalho nas mais diversas áreas. Tem potencial para facilitar a vida de estúdios e produtoras e, ao mesmo tempo, tornar mais escassas as oportunidades para dubladores e atores que trabalham com isso.</p><p style=""text-align:right""><span>GAGLIONI, C. Disponivel em: www.nexojornal.com.br. Acesso em: 25 out. 2021.</span></p><div style=""text-align:left""><span style=""font-size:1em"">A consequência da mudança tecnológica apresentada no texto é a</span></div><p></p></div>","<div class=""exercise-answer__content dangerous-html""><p>proteção da economia nacional.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>valorização da cultura tradicional.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>diminuição da formação acadêmica.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>estagnação da manifestação artística.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>ampliação do desemprego estrutural.</p></div>",E,"O desenvolvimento da inteligência artificial, como exposto no texto, substitui a mão de obra de dubladores e atores que habitualmente trabalhavam com dublagem, gerando, assim, a ampliação do desemprego estrutural, como dito, na prova amarela, no item E. Sabe-se que o desemprego estrutural caracteriza-se pela perda ou extinção de postos de trabalho em decorrência de transformações estruturais efetivadas no sistema econômico e produtivo.
"
1,Questão 47 de Ciências Humanas e suas Tecnologias da prova ENEM/2022: (ENEM 2022),2,"<div class=""dangerous-html""><p style=""text-align:justify"">(ENEM 2022)</p><p style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;Brasil e Argentina chegaram a um acordo para a redução em 10% da Tarifa Externa Comum (TEC) do Mercosul. O consenso foi alcançado durante negociação entre o ministro das Relações Exteriores do Brasil e o seu equivalente argentino, no Palácio do Itamaraty, em Brasília, no início do mês de outubro de 2021. A redução da TEC é um antigo desejo do Brasil, que pretende abrir mais sua economia e, com isso, ajudar a controlar a inflação. Já a Argentina temia que a medida pudesse afetar sua produção industrial. O acordo vai abranger uma ampla gama de produtos e ainda será apresentado ao Paraguai e Uruguai, para que seja formalizado.</p><p style=""text-align:right""><strong><span>Brasil e Argentina fecham acordo para corte de 10% na tarifa do Mercosul</span></strong><span>. Disponível em: https://oglobo.globo.com. Acesso em: 8 out. 2021 (adaptado).</span></p><p style=""text-align:justify"">A necessidade de negociação diplomática para viabilizar o acordo tarifário mencionado é explicada pela seguinte característica do Mercosul:</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Limitação da circulação financeira.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Padronização da política monetária.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Funcionamento da união aduaneira.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Dependência da exportação agrícola.&nbsp;</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Equivalência da legislação trabalhista.</p></div>",C,"O Mercosul foi criado em 1991, a partir do Tratado de Assunção, estabelecendo um bloco formado por Brasil, Argentina, Uruguai e Paraguai, com o objetivo de formar um mercado comum. Em 1994, foi assinado o Protocolo de Ouro Preto, estabelecendo uma união aduaneira, onde os países signatários estabeleceram um T.E.C-Tarifa Externa Comum.
"
2,Questão 48 de Ciências Humanas e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Ainda que a fome oco,3,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">Ainda que a fome ocorrida na Itália em 536 tenha origem nos eventos climáticos, suas implicações são tanto políticas quanto econômicas. Nos primeiros séculos da Idade Média, o auxílio aos famintos se inscreve no domínio da gestão pública, mesmo quando a ação de seus agentes é apresentada sob o ângulo da piedade e da caridade individuais, como é o caso da Gália merovíngia. Assim, o fato de que as respostas à fome são mostradas, na Gália, como o fruto de iniciativas pessoais fundadas no imperativo da caridade deriva da natureza das fontes do século VI.</p><p style=""text-align:right""><span>SILVA, M. C. Os agentes públicos e a fome nos primeiros séculos da Idade Média. </span><strong><span>Varia Historia</span></strong><span>, n. 60, set.-dez. 2016 (adaptado).</span></p><p>Na conjuntura histórica destacada no texto, o dever de agir em face da situação de crise apresentada pertencia à jurisdição</p></div>","<div class=""exercise-answer__content dangerous-html""><p>da nobreza, proveniente da obrigação de proteção ao campesinato livre.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>da realeza, decorrente do conceito de governo subjacente à monarquia cristã.&nbsp;<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>dos mosteiros, resultante do caráter fraternal afirmado nas regras monásticas.&nbsp;<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>dos bispados, consequente da participação dos clérigos nos assuntos comunitários.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>das corporações, procedente do padrão assistencialista previsto nas normas estatutárias.</p></div>",B,"
Ao início da Idade Média, muitos dos chamados Reinos Bárbaros eram considerados cristãos e seus monarcas eram considerados responsáveis, perante Deus, pela vida de seus súditos, especialmente por ocasião de crises como surtos de fome."
3,Questão 49 de Ciências Humanas e suas Tecnologias da prova ENEM/2022: (ENEM 2022),4,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;As forças tectônicas dentro da litosfera, controladas pelo calor interno das profundezas, geram terremotos, erupções e soerguimento de montanhas. As forças meteorológicas dentro da atmosfera e da hidrosfera, controladas pelo calor do Sol, produzem tempestades, inundações, geleiras e outros agentes de erosão.</p><p style=""text-align:right""><span>PRESS, F. et al.</span><strong> Para entender a Terra.</strong><span> Porto Alegre: Bookman, 2006 (adaptado).</span></p><p style=""text-align:right""><span></span></p><div style=""text-align:justify""><span style=""font-size:1em"">A interação dinâmica entre as forças naturais citadas favorece a ocupação do espaço geográfico, na medida em que provoca a formação de</span></div><p></p></div>","<div class=""exercise-answer__content dangerous-html""><p>solos vulcânicos.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>dorsais oceânicas.&nbsp;<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>relevos escarpados.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>superfícies lateríticas.&nbsp;</p></div>","<div class=""exercise-answer__content dangerous-html""><p>dobramentos modernos.</p></div>",A,"Nessa questão buscamos quais são as interações entre as forças naturais citadas no texto. 
No texto temos as forças endógenas (movimentação das placas tectônicas) e as forças exógenas (forças meteorológicas). Essas forças acabam por colaborar para a formação dos solos vucânicos, que contribuiram para o assentamento e fixação do ser humano na terra. Já que os solos vulcânicos são conhecidos por serem os solos férteis que permitiram o sedentarismo do ser humano. "
4,Questão 50 de Ciências Humanas e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Disponível em: https,5,"<div><p>(ENEM 2022)</p><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0xNCAwMDowOToyNSArMDAwMDg4Mzg4OA==.png"" data-filename=""58479""><br></p><p style=""text-align:right""><span>Disponível em: https://ndmais.com.br. Acesso em: 8 out. 2021.</span></p><p>O ápice da ilustração se traduz por uma conduta social caracterizada pela</p></div>","<div class=""exercise-answer__content dangerous-html""><p>cultura do cancelamento.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>prática do feminicídio.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>postura negacionista.&nbsp;<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>ação involuntária.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>defesa da honra.</p></div>",B,"O texto demonstra uma relação cíclica do machismo estrutural que contempla situações opostas que resultam na absurda violência e prática do feminicídio expresso no item B.
"
5,Questão 51 de Ciências Humanas e suas Tecnologias da prova ENEM/2022: (ENEM 2022)TEXTO IA primeira gr,6,"<div class=""dangerous-html""><p style=""text-align:justify"">(ENEM 2022)</p><p style=""text-align:justify"">TEXTO I</p><p style=""text-align:justify"">A primeira grande lei educacional do Brasil, de 1827, determinava que, nas ""escolas de primeiras letras"" do Império, meninos e meninas estudassem separados e tivessem currículos diferentes. No Senado, o Visconde de Cayru foi um dos defensores de que o currículo de matemática das garotas fosse o mais enxuto possível. Nas palavras dele, o ""belo sexo"" não tinha capacidade intelectual para ir muito longe: -Sobre as contas, são bastantes [para as meninas] as quatro espécies, que não estão fora do seu alcance e lhes podem ser de constante uso na vida.<br></p><p style=""text-align:justify"">TEXTO II<br></p><p style=""text-align:justify"">No Senado, o único a defender publicamente que as meninas tivessem, em matemática, um currículo idêntico ao dos meninos foi o Marquês de Santo Amaro (RJ). Ele argumentou: - Não me parece conforme, às luzes do tempo em que vivemos, deixarmos de facilitar às brasileiras a aquisição desses conhecimentos [mais aprofundados de matemática]. A oposição que se manifesta não pode nascer senão do arraigado e péssimo costume em que estavam os antigos, os quais nem queriam que suas filhas aprendessem a ler.</p><p style=""text-align:right""><span>WESTIN, R. <strong>Senado Notícias.</strong> Disponível em: www12.senado.leg.br. Acesso em: 20 out. 2021 (adaptado).</span></p><p style=""text-align:justify"">Os discursos expressam pontos de vista divergentes respectivamente pela oposição entre</p></div>","<div class=""exercise-answer__content dangerous-html""><p>liberdade de gênero e controle social.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>equidade de escolha e imposição cultural.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>dominação de corpos e igualdade humana.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>geração de oportunidade e restrição profissional.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>exclusão de competências e participação política.</p><div><br></div></div>",C,"
O texto apresenta a “justificativa” de um senador brasileiro do período imperial para diferenciar a educação escolar de meninos e meninas, reduzindo para estas o conteúdo para adequá-las ao cotidiano doméstico supondo uma inferioridade intelectual. Isso demonstra a preocupação com os corpos e com a mente.
Já o texto II apresenta um contraponto: de que o ensino diferenciado entre os sexos não tem justificativa, portanto, evitar. Isto é fundamental para promover a igualdade humana."
6,Questão 52 de Ciências Humanas e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Após sete anos da oc,7,"<div class=""dangerous-html""><p style=""text-align:justify"">(ENEM 2022)</p><p style=""text-align:justify"">Após sete anos da ocupação de um terreno abandonado em Santo André, no ABC paulista, os condomínios Novo Pinheirinho e Santos Dias foram inaugurados, com a presença de representantes dos governos federal, estadual e municipal. A ocupação começou em 2012 e, desde então, o movimento vinha reivindicando o direito de usufruir do espaço para a construção de casas. A Carta Magna, em seu art. 6º, garante a todos os brasileiros o direito à moradia.&nbsp;</p><p style=""text-align:right""><span>PUTTI, A. Disponível em: www.cartacapital.com.br. Acesso em: 13 nov. 2021 (adaptado).</span></p><p style=""text-align:right""><span></span></p><div style=""text-align:justify""><span style=""font-size:1em"">O texto apresenta uma estratégia usada pelo movimento social para</span></div><p></p></div>","<div class=""exercise-answer__content dangerous-html""><p>fragilizar o poder público.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>fomentar a economia solidária.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>controlar a propriedade estatal.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>garantir o preceito constitucional.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>incentivar a especulação imobiliária.<br></p></div>",D,"
Amparados no artigo 6 de nossa Constituição Federal, os ocupantes do referido terreno, após sete anos de ocupação, obtiveram, por parte dos poderes constituídos, a garantia do direito à moradia, expresso no artigo supracitado. Também fazem parte deste artigo outros importantes direitos sociais, como educação, saúde, trabalho, lazer e segurança, entre outros. Portanto, o item D é correto."
7,Questão 53 de Ciências Humanas e suas Tecnologias da prova ENEM/2022: (ENEM 2022)TEXTO IA Marinha ide,8,"<div><p><strong>(ENEM 2022)</strong></p><p><strong>TEXTO I</strong></p><p style=""text-align:justify"">A Marinha identifica, na voz de Thomas Barnett, uma ampla região potencialmente insubmissa ou simplesmente irredutível às normas gerais de funcionamento promovidas pelos Estados Unidos e sancionadas pelo Fundo Monetário Internacional, pela Organização Mundial do Comércio e pelo Banco Mundial. E não necessariamente por sua consciência rebelde, mas sim, em muitos casos, pela insubstancialidade de suas instituições estatais.</p><p style=""text-align:justify""><strong>TEXTO II</strong></p><p style=""text-align:justify""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0xNCAwMDoxNTozMSArMDAwMDk3OTkyNA==.png"" data-filename=""58480""><strong><br></strong></p><p style=""text-align:right""><span>CECEÑA, A. E. </span><strong>Hegemonias e emancipações no século XXI</strong><span>. Buenos Aires: Clacso, 2005 </span></p><p style=""text-align:justify"">As preocupações do governo estadunidense expressas no texto e no mapa evidenciam uma estratégia para&nbsp;</p><div style=""text-align:justify""><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>compartilhamento de inovações tecnológicas.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>promoção da independência financeira.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>incremento de intercâmbios culturais<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>ampliação de influência econômica<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>preservação de recursos naturais<br></p></div>",D,"
Em seu novo livro, Novo Mapa do Pentágono, Thomas Barnett descreve a necessidade de novas regras para uma nova era. Barnett acredita que o Pentágono se manteve preso por muito tempo a uma mentalidade do período da Guerra Fria, em que se organizava a máquina militar para enfrentar conflitos com grandes potências (interestatais). No Novo Mapa do Pentágono são mostradas regiões que estão efetivamente integradas e as que estão largamente excluídas. Barnett acredita também que se as regiões excluídas representam perigo, torna-se necessário ampliar a influência econômica e integrar essas regiões à comunidade dos países globalizados."
8,"Questão 54 de Ciências Humanas e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Colegas, na mente e",9,"<div class=""dangerous-html""><p style=""text-align:justify"">(ENEM 2022)<br>Colegas, na mente e no coração do povo, a Crimeia sempre foi uma porção inseparável da Rússia. Essa firme convicção se baseia na verdade e na justiça e foi passada de geração em geração, ao longo do tempo, sob quaisquer circunstâncias, apesar de todas as drásticas mudanças que nosso país atravessou durante todo o século XX.</p><p style=""text-align:right""><span>Disponível em: http://g1.globo.com. Acesso em: 28 jul. 2014.</span></p><p style=""text-align:justify"">Considerando a dinâmica geopolítica subjacente ao texto, a justificativa utilizada por Vladimir Putin, em 2014, para anexação dessa península apela para o argumento de que&nbsp;</p></div>","<div class=""exercise-answer__content dangerous-html""><p>as populações com idioma comum devem estar submetidas à mesma autoridade estatal.&nbsp;<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>o imperialismo soviético havia se acomodado às pretensões das potências vizinhas.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>os organismos transnacionais são incapazes de solucionar disputas territoriais.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>a integração regional supõe a livre circulação de pessoas e mercadorias.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>a expulsão das forças navais ocidentais garantiria a soberania nacional.<br></p></div>",A,"
A Crimeia, situada no Mar Negro, banhada a nordeste pelo Mar de Azov, a sudoeste da Rússia e sul da Ucrânia, constitui uma área historicamente disputada por grandes impérios.
Em 1783, a czarina Catarina II anexou o território ao império russo e criou a Base de Sevastopol, considerada estratégica para a defesa russa, daí a maioria da população local ser majoritariamente russa (cerca de 60%), havendo, portanto, uma ligação étnico-cultural e histórica; fato que é usado por Putin para justificar a anexação em março de 2014 (não reconhecida pela ONU)."
9,Questão 55 de Ciências Humanas e suas Tecnologias da prova ENEM/2022: (ENEM 2022)O leproso é visto de,10,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">O leproso é visto dentro de uma prática da rejeição, do exílio-cerca; deixa-se que se perca lá dentro como numa massa que não tem muita importância diferenciar, os pestilentos são considerados num policiamento tático meticuloso onde as diferenciações individuais são os efeitos limitantes de um poder que se multiplica, se articula e se subdivide. O grande fechamento por um lado; o bom treinamento por outro. A lepra e sua divisão; a peste e seus recortes. Uma é marcada, a outra, analisada e repartida. O exílio do leproso e a prisão da peste não trazem consigo o mesmo sonho político.&nbsp;</p><p style=""text-align:right""><span>FOUCAULT, M. </span><strong>Vigiar e punir: nascimento da prisão</strong><span>. Petrópolis: Vozes, 1967. ,</span></p><p style=""text-align:right""><span><br></span></p><div style=""text-align:justify""><span style=""font-size:1em"">Os modelos autoritários descritos no texto um sistema de controle que se baseia no(a):</span></div><p></p><div style=""text-align:justify""><br></div></div>","<div class=""exercise-answer__content dangerous-html""><p>Formação de sociedade disciplinar.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Flexibilização do regramento social.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>Banimento da autoridade repressora.&nbsp;</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Condenação da degradação humana.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>Hierarquização da burocracia estatal.</p></div>",A,"
Foucault analisa, dentro de sua filosofia, as relações entre poder e saber, a fim de compreender a formação de uma sociedade de controle. Sob uma forte perspectiva histórica, Foucault acompanha as diferentes formas de relação de dominação do Estado para com a sociedade. Do ponto de vista sanitário, a política de corpo aplicada sobre ""leprosos"" e ""pestilentos"", conforme sugerida no texto, é parte de um projeto de sociedade disciplinar."
