,title,order,body,A,B,C,D,E,resposta,resolucao
0,Questão 91 de Ciências da Natureza e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Diversas substâncias,1,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">Diversas substâncias são empregadas com a intenção de incrementar o desempenho esportivo de atletas de alto nível. O chamado<i> doping</i> sanguíneo, por exemplo, pela utilização da eritropoietina, é proibido pelas principais federações de esportes no mundo. A eritropoietina é um hormônio produzido pelos rins e fígado e sua principal ação é regular o processo de eritropoiese. Seu uso administrado intravenosamente em quantidades superiores àquelas presentes naturalmente no organismo permite que o indivíduo aumente a sua capacidade de realização de exercícios físicos.</p><div><div style=""text-align:justify"">Esse tipo de <i>doping</i> está diretamente relacionado ao aumento da:</div></div></div>","<div class=""exercise-answer__content dangerous-html""><p>frequência cardíaca.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>capacidade pulmonar.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>massa muscular do indivíduo.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>atividade anaeróbica da musculatura.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>taxa de transporte de oxigênio pelo sangue.</p></div>",E,"<div class=""dangerous-html""><p style=""text-align:justify"">A eritropoietina (EPO) é um hormônio produzido principalmente nos rins e que estimula a produção de novas hemácias na medula óssea. Com o aumento do número de hemácias (também chamadas de glóbulos vermelhos ou eritrócitos), melhora o transporte de gás oxigênio até os músculos, de modo a aumentar a produção de energia na forma de ATP através da respiração aeróbica. Usada na forma de doping, a EPO pode aumentar muito o número de hemácias a ponto de dificultar o fluxo de sangue e possivelmente levar a uma obstrução dos vasos, podendo cortar o fluxo de oxigênio para áreas vitais e, com isso, levar à morte.</p><p style=""text-align:justify""><br></p></div>"
1,"Questão 92 de Ciências da Natureza e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Em um autódromo, os",2,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">Em um autódromo, os carros podem derrapar em uma curva e bater na parede de proteção. Para diminuir o impacto de uma batida, pode-se colocar na parede uma barreira de pneus, isso faz com que a colisão seja mais demorada e o carro retorne com velocidade reduzida. Outra opção é colocar uma barreira de blocos de um material que se deforma, tornando-a tão demorada quanto a colisão com os pneus, mas que não permite a volta do carro após a colisão.</p><div><div style=""text-align:justify"">Comparando as duas situações, como ficam a força média exercida sobre o carro e a energia mecânica dissipada?</div></div></div>","<div class=""exercise-answer__content dangerous-html""><p>A força é maior na colisão com a barreira de pneus, e a energia dissipada é maior na colisão com a barreira de blocos.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>A força é maior na colisão com a barreira de blocos, e a energia dissipada é maior na colisão com a barreira de pneus.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>A força é maior na colisão com a barreira de blocos, e a energia dissipada é a mesma nas duas situações.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>A força é maior na colisão com a barreira de pneus, e a energia dissipada é maior na colisão com a barreira de pneus.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>A força é maior na colisão com a barreira de blocos, e a energia dissipada é maior na colisão com a barreira de blocos.</p></div>",A,"<div><p style=""text-align:left"">A questão menciona que, com a barreira de blocos deformáveis sem velocidade, não temos o retorno do carro. Assim, podemos entender que o carro perdeu toda a energia cinética que possuía, tendo, portanto, a maior dissipação de energia mecânica. Quanto à força trocada nas duas situações, podemos garantir que a força na barreira com pneus é maior do que a força trocada pela barreira de blocos, pois essa força dos pneus não só parou o carro, como também o empurrou de volta com uma certa velocidade. Uma explicação mais quantitativa se daria com o uso do Teorema do Impulso.</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAxMjoyMDo0NSArMDAwMDk3MjQz.png"" data-filename=""58813""><br></p><p><br></p></div>"
2,Questão 93 de Ciências da Natureza e suas Tecnologias da prova ENEM/2022: (ENEM 2022)A penicilamina é um,3,"<div><p>(ENEM 2022)</p><p style=""text-align:justify"">A penicilamina é um medicamento de uso oral utilizado no tratamento de várias doenças. Esse composto é excretado na urina, cujo pH se situa entre 5 e 7. A penicilamina, cuja fórmula estrutural plana está apresentada, possui três grupos funcionais que podem ser ionizados:</p><p style=""text-align:justify"">• carboxila: -COOH, cujo pK<span><sub>a</sub></span>&nbsp;é igual a 1,8;</p><p style=""text-align:justify"">• amino: -NH<sub>2</sub><sup>+</sup>, que pode ser convertido em amínio (-NH<sub>3 </sub>cujo pK<span><sub>a</sub></span>&nbsp;é igual a 7,9);</p><p style=""text-align:justify"">• tiol: -SH, cujo pK<span><sub>a</sub></span>, é igual a 10,5.</p><p style=""text-align:justify"">Sabe-se que pK<span><sub>a</sub></span>= -log K<sub>a</sub>.</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMTozOToyMCArMDAwMDM4NjU2OQ==.png"" data-filename=""58566""><br></p><p>Qual estrutura derivada da penicilamina é predominantemente encontrada na urina?</p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMTozOTozMSArMDAwMDI2OTU5MA==.png"" data-filename=""58567""><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMTozOTozOCArMDAwMDcyMzg0.png"" data-filename=""58568""><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMTozOTo0NiArMDAwMDI5MDU2Nw==.png"" data-filename=""58569""><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMTozOTo1MyArMDAwMDIzNDEzMg==.png"" data-filename=""58570""><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMTozOTo1OSArMDAwMDI4MzE5OQ==.png"" data-filename=""58571""><br></p></div>",C,"<div><p><span style=""font-size:1em"">O pK</span><span><span style=""font-size:1em"">a</span></span><span style=""font-size:1em""> (um indicativo da acidez) de determinado grupo indica se, em determinado pH, o grupo permanecerá com o H</span><span><span style=""font-size:1em"">+</span></span><span style=""font-size:1em""> ou perderá o H</span><span><span style=""font-size:1em"">+</span></span><span style=""font-size:1em"">.</span></p><span><ul><li><p>Se pH &gt; pKa, o meio está mais básico e o grupo perde o H+. já que este reage com a base.</p><p>Se pH &lt;pK, o meio está mais ácido, rico em H+, e o grupo mantém-se com o H+.</p><p></p></li></ul><p><span style=""font-size:1em"">Analisando os valores de pK</span><span><span style=""font-size:1em"">a</span></span><span style=""font-size:1em"">, e comparando-o com o pH (de 5 a 7), temos que:</span></p><p><span style=""font-size:1em""><br></span></p><ul><li><p>Carboxila (pKa, = 1,8)→ como pH &gt; pKa, a carboxila perde o H+ e se encontra na forma de -COO;</p></li><li><p>Aminio (pKa, = 7,9) como pH &lt; pKa, o íon amínio mantém seu H+, se encontrando como -NH3+;</p></li><li><p>Tiol (pKa, = 10,5)-&gt; como pH &lt;pKa, o tiol mantém seu H+, se encontrando como -SH.</p></li></ul><p><br></p><p>Desta maneira, a espécie predominante da penicilina é:<br></p></span><div style=""text-align:center""><img data-filename=""58744"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDoyOTozMyArMDAwMDEzNDAyNQ==.png""></div><div style=""text-align:justify""><strong>Resposta Correta: C</strong></div><div style=""text-align:justify""><br></div><div style=""text-align:justify""></div></div>"
3,Questão 94 de Ciências da Natureza e suas Tecnologias da prova ENEM/2022: (ENEM 2022)O protozoário Trypan,4,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">O protozoário <i>Trypanosoma cruzi</i>, causador da doença de Chagas, pode ser a nova arma da medicina contra o câncer. Pesquisadores brasileiros conseguiram criar uma vacina contra a doença usando uma variação do protozoário incapaz de desencadear a patologia (não patogênico). Para isso, realizaram uma modificação genética criando um <i>T. cruzi</i> capaz de produzir também moléculas fabricadas pelas células tumorais. Quando o organismo inicia o combate ao protozoário, entra em contato também com a molécula tumoral, que passa a ser vista também pelo sistema imune como um indicador de células do protozoário. Depois de induzidas as defesas, estas passam a destruir todas as células com a molécula tumoral, como se lutassem apenas contra o protozoário.</p><p style=""text-align:right""><span>Disponível em: www.estadao.com.br. Acesso em: 1 mar. 2012 (adaptado).</span></p><div><div>Qual o mecanismo utilizado no experimento para enganar as células de defesa, fazendo com que ataquem o tumor?</div></div></div>","<div class=""exercise-answer__content dangerous-html""><p>Autoimunidade.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Hipersensibilidade.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Ativação da resposta inata.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Apresentação de antígeno específico.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Desencadeamento de processo anti-inflamatório.</p></div>",D,"<div class=""dangerous-html""><p style=""text-align:justify"">A imunização ativa consiste na produção de anticorpos (imunoglobulinas) contra um certo antígeno pelo próprio organismo, envolvendo também a produção de células de memória, de modo a conferir memória imunológica. As vacinas desencadeiam um mecanismo de imunização ativa. Nesse processo, é introduzido no corpo de um indivíduo sadio um antígeno, havendo então a produção de anticorpos específicos para esse antígeno. No caso, as proteínas tumorais contidas no protozoário modificado agem como antígeno, estimulando a produção de anticorpos contra tais proteínas.</p><p style=""text-align:justify""><br></p></div>"
4,Questão 95 de Ciências da Natureza e suas Tecnologias da prova ENEM/2022: (ENEM 2022)O sinal sonoro oriun,5,"<div><p></p><p style=""text-align:left"">(ENEM 2022)</p><p style=""text-align:justify"">O sinal sonoro oriundo da queda de um grande bloco de gelo de uma geleira é detectado por dois dispositivos situados em um barco, sendo que o detector A está imerso em água e o B, na proa da embarcação. Sabe-se que a velocidade do som na água é de 1 540&nbsp;&nbsp;<img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMTowOTozMiArMDAwMDk4Njg4MQ==.png"" data-latex=""%5Cfrac%20m%20s"" data-size=""0.6"">&nbsp;&nbsp;e no ar é de 340&nbsp;&nbsp;<img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMTowOTozMiArMDAwMDk4MTI2Ng==.png"" data-latex=""%5Cfrac%20m%20s"" data-size=""0.6""></p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMjowOTozMCArMDAwMDI5OTQ3Mw==.png"" data-filename=""58618""></p><p style=""text-align:justify"">Os gráficos indicam, em tempo real, o sinal sonoro detectado pelos dois dispositivos, os quais foram ligados simultaneamente em um instante anterior à queda do bloco de gelo. Ao comparar pontos correspondentes desse sinal em cada dispositivo, é possível obter informações sobre a onda sonora.</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMjowOToxNSArMDAwMDMxNzIxNg==.png"" data-filename=""58616""></p><p>A distância L, em metro, entre o barco e a geleira é mais próxima de</p></div>","<div class=""exercise-answer__content dangerous-html""><p>339 000.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>78 900.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>14 400.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>5 240.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>100.</p></div>",D,"<div><p>Percebemos nos gráficos uma defasagem de 12s entre os detectores Ae B. Por exempio, a última parte do gráfico A termina no tempo 226s, enquanto a última parte do gráfico B termina no tempo 238s.</p><p>Pode-se escrever que:</p><p><img data-filename=""58795"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMTo0MDo1NSArMDAwMDQ2NTg2MA==.png""></p><p><strong>Resposta correta: D</strong></p><p><br></p></div>"
5,"Questão 96 de Ciências da Natureza e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Em 2002, um mecânico",6,"<div><p>(ENEM 2022)</p><p style=""text-align:justify"">Em 2002, um mecânico da cidade mineira de (MG) teve uma ideia para economizar o consumo de energia elétrica e iluminar a própria casa num dia de sol. Para isso, ele utilizou garrafas plásticas PET com água e cloro, conforme ilustram as figuras. Cada garrafa foi fixada ao telhado de sua casa em um buraco com diâmetro igual ao da garrafa, muito maior que o comprimento de onda da luz. Nos últimos dois anos, sua ideia já alcançou diversas partes do mundo e deve atingir a marca de 1 milhão de casas utilizando a ""luz engarrafada"".</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMTo0NDo1NCArMDAwMDgxMDY3OQ==.png"" data-filename=""58583""></p><p>Que fenômeno óptico explica o funcionamento da ""luz engarrafada""?</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Difração.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Absorção.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Polarização.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Reflexão.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Refração.</p></div>",E,"<div class=""dangerous-html""><p>A luz vinda do Sol, ao entrar na garrafa com água, sofre um fenômeno de refração. Dentro da garrafa, a luz sofre reflexão nas paredes internas da garrafa bem como refração para sair da garrafa e chegar aos olhos de um observador. Podemos concluir que, para o funcionamento da luz engarrafada chegar aos objetos, o fenômeno óptico seria a refração da luz ao sair da garrafa para a casa.</p></div>"
6,Questão 97 de Ciências da Natureza e suas Tecnologias da prova ENEM/2022: (ENEM 2022)A água bruta coletad,7,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">A água bruta coletada de mananciais apresenta alto índice de sólidos suspensos, o que a deixa com um aspecto turvo. Para se obter uma água límpida e potável, ela deve passar por um processo de purificação numa estação de tratamento de água. Nesse processo, as principais etapas são, nesta ordem: coagulação, decantação, filtração, desinfecção e fluoretação.</p><p style=""text-align:justify"">Qual é a etapa de retirada de grande parte desses sólidos?</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Coagulação.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Decantação.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Filtração.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Desinfecção.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>Fluoretação.</p></div>",B,"<div class=""dangerous-html""><p>Os eventos de cada etapa podem ser descritos como:</p><p>Coagulação: aproximação das partículas.</p><p>Decantação: sedimentação das partículas coaguladas.</p><p>Filtração: retenção de moléculas.</p><p>Desinfecção: tratamento com agente oxidante.</p><p>Fluoretação: adição de ions F• (fluoreto).</p><p>Portanto, a etapa de retirada dos sólidos é a decantação.</p><p><br></p></div>"
7,"Questão 98 de Ciências da Natureza e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Os ursos, por não ap",8,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">Os ursos, por não apresentarem uma hibernação verdadeira, acordam por causa da presença de termogenina, uma proteína mitocondrial que impede a chegada dos prótons até a ATP sintetase, gerando calor. Esse calor é importante para aquecer o organismo, permitindo seu despertar.</p><p style=""text-align:right""><span>SADAVA, D. et al. <strong>Vida: a ciência da biologia</strong>. Porto Alegre: Artmed, 2009 (adaptado).</span></p><p>Em qual etapa do metabolismo energético celular a termogenina interfere?</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Glicólise.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Fermentação lática.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Ciclo do ácido cítrico.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Oxidação do piruvato.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>Fosforilação oxidativa.</p></div>",E,"<div class=""dangerous-html""><p style=""text-align:justify"">Segundo a hipótese quimiosmótica de Mitchell, a energia liberada pelo fluxo de elétrons na cadeia respiratória é utilizada para transportar ions H<sup>+</sup> da matriz mitocondrial para o espaço intermembrana através da membrana mitocondrial intema. Uma vez que, no espaço intermembrana, os ions H<sup>+&nbsp;</sup>não podem retomar à matriz mitocondrial, acumulando-se e gerando um gradiente de prótons H<sup>+</sup>. Quando os prótons H<sup>+</sup> retornam do espaço intermembrana para a matriz mitocondrial, eles o fazem por meio de proteinas da membrana mitocondrial interna denominadas oxissomos (FoF1ATPase), que utilizam a energia liberada pelos prótons na passagem a favor do gradiente (processos de transporte passivo são exotérmicos) para a síntese de ATP. Existem moléculas denominadas desacopladores da fosforilação oxidativa, como a proteína termogenina, que transportam prótons de hidrogênio do espaço intermembrana para a matriz mitocondrial sem passar pelos oxissomos. Dessa maneira, quando os prótons voltam à matriz, liberam energia como calor, não como ATP, uma vez que não passam pelos oxissomos (FoF1ATPase), o que permite o aquecimento do corpo.</p><p><br></p></div>"
8,Questão 99 de Ciências da Natureza e suas Tecnologias da prova ENEM/2022: (ENEM 2022)A fim de classificar,9,"<div><p>(ENEM 2022)</p><p style=""text-align:justify"">A fim de classificar as melhores rotas em um aplicativo de trânsito, um pesquisador propõe um modelo com base em circuitos elétricos. Nesse modelo, a corrente representa o número de carros que passam por um ponto da pista no intervalo de 1 s. A diferença de potencial (d.d.p.) corresponde à quantidade de energia por carro necessária para o deslocamento de 1 m. De forma análoga à lei de Ohm, cada via é classificada pela sua resistência, sendo a de maior resistência a mais congestionada. O aplicativo mostra as rotas em ordem crescente, ou seja, da rota de menor para a de maior resistência.</p><p style=""text-align:justify"">Como teste para o sistema são utilizadas três possíveis vias para uma viagem de A até B, com os valores de d.d.p. e corrente conforme a tabela.</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMTo0ODo1MCArMDAwMDUzNzg5MA==.png"" data-filename=""58584""></p><p>Nesse teste, a ordenação das rotas indicadas pelo aplicativo será:</p></div>","<div class=""exercise-answer__content dangerous-html""><p>1, 2, 3.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>1, 3, 2.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>2, 1, 3.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>3, 1, 2.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>3, 2, 1.</p></div>",A,"<div class=""dangerous-html""><div>Nesta questão, a relação entre a ddp (U) e a corrente (i) será estabelecida de maneira análoga à da 1ª Lei de Ohm. Analisando cada rota, teremos:</div><div><br></div><div>• Rota 1</div><div><br></div><div>U<sub>1</sub> = R<sub>1</sub> x i<sub>1</sub> ➔ 510 = R<sub>1</sub> x 4 ➔ R<sub>1</sub> = 127,5 J x s / [(carro)<sup>2</sup> x m]</div><div><br></div><div>• Rota 2</div><div><br></div><div>U<sub>2</sub> = R<sub>2</sub> x i<sub>2</sub> ➔ 608 = R<sub>2</sub> x 4 ➔ R<sub>2</sub> = 152 J x s / [(carro)<sup>2</sup> x m]</div><div><br></div><div>• Rota 3</div><div><br></div><div>U<sub>3</sub> = R<sub>3</sub> x i<sub>3</sub> ➔ 575 = R<sub>3</sub> x 3 ➔ R<sub>3</sub> = 191,7 J x s / [(carro)<sup>2</sup> x m]</div><div><br></div><div>Logo, concluímos que a ordem crescente será R<sub>1</sub> &lt; R<sub>2</sub> &lt; R<sub>3</sub></div><div><br></div><div><strong>Resposta correta: A</strong></div><div><br></div><div><span style=""text-align:justify""></span><br></div></div>"
9,Questão 100 de Ciências da Natureza e suas Tecnologias da prova ENEM/2022: (ENEM 2022)O esquema representa,10,"<div><p>(ENEM 2022)</p><p>O esquema representa o ciclo do nitrogênio:</p><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMTo1MDowMSArMDAwMDc1NzMxOA==.png"" data-filename=""58585""></p><p>A chuva ácida interfere no ciclo do nitrogênio, principalmente, por proporcionar uma diminuição do pH do solo e da atmosfera, alterando a concentração dos compostos presentes nesse ciclo.</p><p style=""text-align:right""><span>Disponível em: http://scienceprojectideasforkids.com. Acesso em 6 ago. 2012 (adaptado).</span></p><p>Em um solo de menor pH, será favorecida a formação de:</p></div>","<div class=""exercise-answer__content dangerous-html"">N<sub>2</sub><br></div>","<div class=""exercise-answer__content dangerous-html""><p>NH<sub>3</sub></p></div>","<div class=""exercise-answer__content dangerous-html""><p>NH<sub>4</sub><sup>+</sup></p></div>","<div class=""exercise-answer__content dangerous-html""><p>NO<sub>2</sub><sup>-</sup></p></div>","<div class=""exercise-answer__content dangerous-html""><p>NO<sub>3</sub><sup>-</sup></p><div><br></div></div>",C,"<div><p>Considerando que o meio se encontra ácido (isto é, em um solo de menor pH), a espécie básica amonia, NH,, reage com os ions H, capturando-os:<br></p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMzo0NTozNSArMDAwMDkyNDQzMA==.png"" data-filename=""58730""></p><p>Quanto mais ácido, o equilíbrio anterior desloca-se para os produtos, isto é, aumenta a concentração de NH4 + espécie que predomina nessas condições.</p><p>Destaca-se, ainda, que NO2-, e NO3-, (ânions) reagiriam com o H do solo, formando outros produtos, e suas concentrações diminuiriam, não sendo favorecidos.<br></p><p><strong>Resposta correta: C</strong></p><p><br></p><div><br></div></div>"
