,title,order,body,A,B,C,D,E,resposta,resolucao
0,"ENEM2023ING01: No man is an island,Entire of i",1,"<div class=""dangerous-html""><p>No man is an island,</p><p>Entire of itself;</p><p>Every man is a piece of the continent,</p><p>A part of the main.</p><p>[...]</p><p>Any man's death diminishes me,</p><p>Because I am involved in mankind.</p><p style=""text-align:right""><span>DONNE, J. <strong>The Works of John Donne</strong>. Londres: John W Parker, 1839 (fragmento)</span></p><p><br></p><p>Nesse poema, a expressão ""<i>No man is an island</i>"" ressalta o(a):</p></div>","<div class=""exercise-answer__content dangerous-html"">medo da morte.</div>","<div class=""exercise-answer__content dangerous-html""><div>ideia de conexão.</div></div>","<div class=""exercise-answer__content dangerous-html"">conceito de solidão.</div>","<div class=""exercise-answer__content dangerous-html"">risco de devastação.</div>","<div class=""exercise-answer__content dangerous-html"">necessidade de empatia.</div>",B,"<div class=""dangerous-html""><p><br></p></div>"
1,ENEM2023ING02: Things We Carry on the SeaWe ca,2,"<div class=""dangerous-html""><div><strong>Things We Carry on the Sea</strong></div><div><br></div><div>We carry tears in our eyes: good-bye father, good-bye</div><div>&nbsp;&nbsp;&nbsp;&nbsp;[mother</div><div>We carry soil in small bags: may home never fade in our</div><div>&nbsp;&nbsp;&nbsp;&nbsp;[hearts</div><div>We carry carnage of mining, droughts, floods, genocides</div><div>We carry dust of our families and neighbors incinerated</div><div>&nbsp;&nbsp;&nbsp;&nbsp;[in mushroom clouds</div><div>We carry our islands sinking under the sea</div><div>We carry our hands, feet, bones, hearts and best minds</div><div>&nbsp;&nbsp;&nbsp;&nbsp;[for a new life</div><div>We carry diplomas: medicine, engineer, nurse,</div><div>&nbsp;&nbsp;&nbsp;&nbsp;[education, math, poetry, even if they mean</div><div>&nbsp;&nbsp;&nbsp;&nbsp;[nothing to the other shore</div><div>We carry railroads, plantations, laundromats,</div><div>&nbsp;&nbsp;&nbsp;&nbsp;[bodegas, taco trucks, farms, factories, nursing</div><div>&nbsp;&nbsp;&nbsp;&nbsp;[homes, hospitals, schools, temples... built on</div><div>&nbsp;&nbsp;&nbsp;&nbsp;[our ancestors' backs</div><div>We carry old homes along the spine, new dreams in our</div><div>&nbsp; &nbsp; [chests</div><div>We carry yesterday, today and tomorrow</div><div>We're orphans of the wars forced upon us</div><div>We're refugees of the sea rising from industrial wastes</div><div>And we carry our mother tongues</div><div>[...]</div><div>As we drift... in our rubber boats... from shore... to shore...</div><div>&nbsp;&nbsp;&nbsp;&nbsp;[to shore...</div><div><br></div><div style=""text-align:right""><span>PING W. Disponível em https //poets arg. Acesso em: 1 jun. 2023 (fragmento).</span></div><div><br></div><div>Ao retratar a trajetória de refugiados, o poema recorre à imagem de viagem marítima para destacar o(a)</div></div>","<div class=""exercise-answer__content dangerous-html""><div>risco de choques culturais.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>impacto do ensino de história.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>importância da luta ambiental.</div></div>","<div class=""exercise-answer__content dangerous-html"">existência de experiências plurais.</div>","<div class=""exercise-answer__content dangerous-html""><div>necessidade de capacitação profissional.</div></div>",D,"<div class=""dangerous-html"">A questão avalia a habilidade do aluno de usar seus conhecimentos linguísticos para compreender um produto cultural específico, no caso, um poema. No poema em questão, o eu lírico utiliza uma multiplicidade de elementos (físicos, culturais, sociais, entre outros) para destacar a existência de experiências plurais na vida dos refugiados.</div>"
2,ENEM2023ING03: The average american tosses 300,3,"<div><div><div style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMy0xMS0wNSAyMjoxNTo0MCArMDAwMDI4MjI2Ng==.png"" data-filename=""64444""><br></div><br>The average american tosses 300 pounds of food each year, making food the number one contributor to America's landfills. Eat your leftovers and keep your perishables in the fridge - the Earth is counting on it.</div><div><br></div><div style=""text-align:right""><span>Disponível em: https://mir-s3-cdn-of behance.net. Acesso em 29 out. 2021 (adaptado).</span></div><div><br></div><div>Esse cartaz de campanha sugere que</div></div>","<div class=""exercise-answer__content dangerous-html""><div>os lixões precisam de ampliação.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>o desperdício degrada o ambiente.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>os mercados doam alimentos perecíveis.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>a desnutrição compromete o raciocínio.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>as residências carecem de refrigeradores.</div></div>",B,"<div class=""dangerous-html""><div style=""text-align:justify"">A questão avalia a habilidade do candidato de mobilizar seus recursos linguísticos para ampliar seus conhecimentos no campo informativo. O autor do texto afirma que o cidadão americano mediano desperdiça 300 libras (mais de 136 kg) de comida todo ano, fazendo com que restos de alimentos sejam o fator que mais contribui para a poluição dos aterros sanitários. Portanto, é possível inferir que a campanha sugere que o desperdício degrada o ambiente.</div><div style=""text-align:justify""><br></div><div style=""text-align:justify"">Resolução cedida pelo SAS Plataforma de Educação em parceria com o Colégio Ari de Sá</div></div>"
3,"ENEM2023ING04: ""Oh, you'll love working here.",4,"<div><div><div style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMy0xMS0wNSAyMjoyMDozMSArMDAwMDkzMzQ3Mg==.png"" data-filename=""64445""></div><br>""Oh, you'll love working here. Nobody treats you any differently just because of your age, race, or gender.""</div><div><br></div><div style=""text-align:right""><span>Disponível em www.cartoonstock.com. Acesso em: 25 out. 2021.</span></div><div><br></div><div>Ao retratar o ambiente de trabalho em um escritório, esse cartum tem por objetivo</div></div>","<div class=""exercise-answer__content dangerous-html""><div>criticar um padrão de vestimenta.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>destacar a falta de diversidade.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>indicar um modo de interação.</div></div>","<div class=""exercise-answer__content dangerous-html"">elogiar um modelo de organização.</div>","<div class=""exercise-answer__content dangerous-html""><div>salientar o espírito de cooperação.</div></div>",B,"<div class=""dangerous-html""><p>A questão avalia a habilidade do aluno de identificar a função de um texto, ou seja, determinar a intenção do autor ao produzir aquele texto. A combinação de elementos verbais (a fala do personagem afirmando que não há discriminação no ambiente de trabalho) e não verbais (todos os indivíduos retratados de forma idêntica) evidencia a intenção do autor de destacar a falta de diversidade no ambiente de trabalho.<br></p></div>"
4,ENEM2023ING05: Spanglishpues estoy creando Spa,5,"<div class=""dangerous-html""><div style=""text-align:center""><strong>Spanglish</strong></div><div><br></div><div>pues estoy creando Spanglish</div><div>bi-cultural systems</div><div>scientific lexicographical</div><div>inter-textual integrations</div><div>two expressions</div><div>existentially wired</div><div>two dominant languages</div><div>continentally abrazándose</div><div>in colloquial combate</div><div>imperio spanglish emerges</div><div>sobre territorio bi-lingual</div><div>las novelas mexicanas</div><div>mixing with radiorocknroll</div><div>immigrant/migrant</div><div>nasal mispronouncements</div><div>hip-hop, street salsa, spanish pop</div><div>standard english classroom</div><div>with computer technicalities</div><div>spanglish is literally perfect</div><div><br></div><div style=""text-align:right""><span>LAVIERA T. </span><strong><span>Benedición</span></strong><span>. The Complete Poetry of Talo Laviera. Houston: Arte Público Press, 2014 (fragmento).</span></div><div><br></div><div>Nesse poema de Tato Laviera, o eu lírico destaca uma</div></div>","<div class=""exercise-answer__content dangerous-html"">convergência linguístico-cultural.</div>","<div class=""exercise-answer__content dangerous-html"">característica histórico-cultural.</div>","<div class=""exercise-answer__content dangerous-html"">tendência estilístico-literária.</div>","<div class=""exercise-answer__content dangerous-html""><div>discriminação cultural.</div></div>","<div class=""exercise-answer__content dangerous-html"">censura musical.</div>",A,"<div class=""dangerous-html"">A questão avalia a habilidade do aluno de usar seus conhecimentos linguísticos para compreender um produto cultural específico, no caso, um poema. No poema em questão, observa-se uma tendência à integração linguística e cultural entre o inglês e o espanhol (há uma fusão desses dois idiomas nos versos) e entre a cultura norte-americana e a hispânica.</div>"
5,ENEM2023ESP01: Técnicas de manipulación y el r,6,"<div class=""dangerous-html""><div style=""text-align:center""><strong>Técnicas de manipulación y el resultado</strong></div><div><br></div><div>&nbsp;&nbsp;&nbsp;&nbsp;Manipular es sembrar en la conciencia y en la mente de la gente ideas, actitudes, conceptos y aspiraciones — incluso falsas e inmorales — que sirvan a los objetivos de sus manipuladores.</div><div>&nbsp;&nbsp;&nbsp;&nbsp;Manipular es una de las primeras cosas que aprendemos en la vida. A muy temprana edad, los bebés descubren el poder del llanto, el berrinche, los pataleos, la risa o alguna ""gracia"" como recursos para demandar atención, exigir comida, pedir ayuda o simplemente mantener ocupada a la gente. Nuestras actitudes de adultos reflejan lo mucho o poco que algunos maduraron, procesaron y rebasaron ese periodo.&nbsp;</div><div>&nbsp;&nbsp;&nbsp;&nbsp;Para que exista un manipulador, debe haber una base de ciudadanos indefensos, dóciles, desinformados. El manipulador es celoso, a veces casi paranoico: no admite cuestionamientos ni quiere que nadie ocupe su espacio, sabe que su vigencia depende de presencia controladora. Todos los dias, hay que marcar la linea de discurso, incidir en el debate. El ridículo vale la pena si con ello se logra una cortina de humo.</div><div>&nbsp;<span>﻿</span></div><div style=""text-align:right""><span>Disponível em: </span><span>www.forbes.com.mx.</span><span> Acesso em: 7 out. 2021 (adaptado).</span></div><div><br></div><div>Nesse texto, a expressão ""cortina de humo"" revela que o manipulador</div></div>","<div class=""exercise-answer__content dangerous-html""><div>amadurece tardiamente.</div></div>","<div class=""exercise-answer__content dangerous-html"">busca mascarar a verdade.</div>","<div class=""exercise-answer__content dangerous-html""><div>rejeita questionamentos alheios.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>aproxima-se de pessoas indefesas.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>faz-se presente de forma controladora.</div></div>",B,"<div class=""dangerous-html""><p>A expressão ""cortina de humo"", usada no texto, corresponde à ""cortina de fumaça"" no português. Essa sentença é usada como alusão às técnicas utilizadas por militares para esconder suas forças por trás de uma nuvem de fumaça, para confundir o inimigo. O recurso também era utilizado por mágicos para desorientar seu público.</p><p>Na questão, o manipulador procura mascarar a verdade.</p><div><br></div></div>"
6,ENEM2023ESP02: TEXTO I¿QUÉ ME PASA?:¿PorQUÉ ME,7,"<div><div><strong>TEXTO I</strong></div><div><br></div><div><strong>¿QUÉ ME PASA?:</strong></div><div>¿PorQUÉ ME CUESTA TANTO ESTUDIAR?</div><div>¿pORQUÉ ME CUESTA TANTO CONCENTRARME?</div><div>¿PoRQUÉ......</div><div>¿pORQUÉ......</div><div>......</div><div>¿PORQUé NO CONSIGO APRENDER COMO LOS DEMÁS?</div><div><br></div><div style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMy0xMS0wNSAyMjoyNTo1NCArMDAwMDUxODU3Mw==.png"" data-filename=""64447""><br></div><div><div style=""text-align:right""><span style=""text-align:left"">Disponível</span><span>&nbsp;em: www.otrasvoceserneducacion.org. Acesso em: 8 nov. 2022.</span></div></div><div><br></div><div><div><strong>TEXTO II</strong></div><div><br></div><div>Ishaan Awashi es un niño de 8 años cuyo mundo está plagado de maravillas que nadie más parece apreciar colores, peces, perros y cometas, que simplemente no son importantes en la vida de los adultos, que parecen más interesados en cosas como los deberes, las notas o la limpieza. E Ishaan parece no poder hacer nada bien en clase. Cuando los problemas que ocasiona superan a sus padres, es internado en un colegio para que le disciplinen. Las cosas no mejoran en el nuevo colegio, donde Ishaan tiene además que aceptar estar lejos de sus padres. Hasta que un dia, el nuevo profesor de arte, Ram Shankar Nikumbh, entra en escena, se interesa por el pequeño Ishaan y todo cambia.</div><div><br></div><div style=""text-align:right""><span>Disponível em: https://elfinalde.com. Acesso em 26 out. 2021 (adaptado).</span></div><div><br></div><div>O filme <i>Como estrellas en la tierra </i>aborda o tema da dislexia. Relacionando o cartaz do filme com a sinopse, constata-se que o(a)</div></div></div>","<div class=""exercise-answer__content dangerous-html""><div>olhar diferenciado para com o outro gera mudanças.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>estudante com dislexia apresenta um tom questionador.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>abordagem para lidar com a dislexia é pautada na disciplina.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>contato com os pais prejudica o acompanhamento da dislexia.</div></div>","<div class=""exercise-answer__content dangerous-html"">mudança de interesses ocorre na transição da infância para a vida adulta.</div>",A,"<div class=""dangerous-html""><p>Para responder a essa questão, é necessário recorrer às 3 últimas linhas do texto II: ""Hasta que un día, el nuevo profesor de arte, Ram Shankar Nikumbh, entra en escena, se interesa por el pequeño Ishaan y todo cambia"". Depois da chegada do professor de arte, Ram Skankar Nikumbh, tudo acaba ficando mais favorável para o pequeno garoto Ishaan Awashi. Tal fato determina que mudanças são geradas a partir de um olhar diferenciado.<br></p></div>"
7,ENEM2023ESP03: Que quede claroCómo es posible,8,"<div class=""dangerous-html""><div style=""text-align:center""><strong>Que quede claro</strong></div><div><br></div><div>Cómo es posible que se cierren</div><div>tantas bocas, tantos ojos,</div><div>tantas puertas, muchas mentes ante un</div><div>acto xenofóbico sin precedentes.</div><div><br></div><div>Presidentes, ministros, cancilleres,</div><div>autoridades, responsables.</div><div>¿Quien pagará el daño causado a familiares?</div><div>Por un loco del estrada sin modales. [...]</div><div><br></div><div>Se alejó de aquel lugar donde su color era</div><div>mucho más que su color, era su raza.</div><div>Persiguiendo un sueño que desapareció,</div><div>que se fusionó y terminó en una pesadilla. [...]</div><div><br></div><div>Déjame que te cuente esta historia</div><div>que sucedió en el metro de Barcelona,</div><div>cuando aquella mañana la injusticia</div><div>y xenofobia se juntaron de la mano,</div><div>protagonizando una de las más feas escenas de racismo.</div><div><br></div><div>En aquel vagón viajaba un ángel de color diferente,</div><div>en su camino se interpuso aquel inconsciente,</div><div>que aún sabiendo lo que hacía,</div><div>seguia hablando con su gente.</div><div><br></div><div>Le dio al ángel dos patadas en su cara,</div><div>se rió de ella sin cambiar la mirada.</div><div>Y aún anda suelto, aún anda suelto...</div><div><br></div><div style=""text-align:right""><span>ORISHAS. In: </span><strong><span>Cosita buena</span></strong><span>. Delaware: Suerte Publishing LLC, 2008 (fragmento).</span></div><div><br></div><div>A letra da canção<i> Que quede claro</i>, da banda cubana Orishas, revela o(a)</div></div>","<div class=""exercise-answer__content dangerous-html""><div>indignação diante do desrespeito à diversidade.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>violência característica das grandes metrópoles.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>preconceito da sociedade com relação ao misticismo.</div></div>","<div class=""exercise-answer__content dangerous-html"">descuido da população com os sonhos dos imigrantes.</div>","<div class=""exercise-answer__content dangerous-html""><div>falta de segurança existente no transporte público urbano.</div></div>",A,"<div class=""dangerous-html""><div>De acordo com a temática da letra da canção ""Que quede claro"", há um questionamento gerado pela revolta por conta da ausência de respeito à diversidade.</div></div>"
8,ENEM2023ESP04: Me niego rotundamenteA negar mi,9,"<div class=""dangerous-html""><div>Me niego rotundamente</div><div>A negar mi voz,</div><div>Mi sangre y mi piel.</div><div><br></div><div>Y me niego rotundamente</div><div>A dejar de ser yo,</div><div>A dejar de sentirme bien</div><div>Cuando miro mi rostro en el espejo</div><div>Con mi boca</div><div>Rotundamente grande,</div><div>Y mi nariz</div><div>Rotundamente hermosa,</div><div>Y mis dientes</div><div>Rotundamente blancos,</div><div>Y mi piel valientemente negra.</div><div><br></div><div>Y me niego categóricamente</div><div>A dejar de hablar</div><div>Mi lengua, mi acento y mi historia.</div><div><br></div><div>Y me niego absolutamente</div><div>A ser parte de los que callan,</div><div>De los que temen,</div><div>De los que lloran.</div><div><br></div><div>Porque me acepto</div><div>Rotundamente libre,</div><div>Rotundamente negra,</div><div>Rotundamente hermosa.</div><div><br></div><div style=""text-align:right""><span>CAMPBELL BARR, S. Disponível em: </span><span>https://negracubanateniaqueser.com.</span><span>&nbsp;Acesso em: 25 out. 2021.</span></div><div><br></div><div>Para enfatizar características e atitudes que reforçam a identidade da mulher negra, o poema da escritora costarriquenha apresenta</div></div>","<div class=""exercise-answer__content dangerous-html"">advérbios como ""<i>rotundamente</i>"" e ""<i>categóricamente</i>"".</div>","<div class=""exercise-answer__content dangerous-html""><div>verbos reflexivos como ""<i>me niego</i>"" e ""<i>me acepto</i>"".</div></div>","<div class=""exercise-answer__content dangerous-html"">adjetivos como ""<i>grande</i>"" e ""<i>hermosa</i>"".</div>","<div class=""exercise-answer__content dangerous-html""><div>substantivos como ""<i>sangre</i>"" e ""<i>piel</i>"".</div></div>","<div class=""exercise-answer__content dangerous-html""><div>adjetivos possessivos como ""<i>mi</i>"" e ""<i>mis</i>"".</div></div>",A,"<div class=""dangerous-html""><p>O poema da escritora Campbell Barr consegue evidenciar atributos que fortalecem a identidade da mulher negra ao utilizar, repetidas vezes, o advérbio “rotundamente” (redondamente, em português) em quase todas as estrofes.</p></div>"
9,"ENEM2023ESP05: ""Caramelos"" en sus suelosLas ti",10,"<div class=""dangerous-html""><div style=""text-align:center""><strong>""Caramelos"" en sus suelos</strong></div><div><br></div><div>Las tierras de España, tu vista enamoran;</div><div>sus gentes; te amistan; ¿”cocinas”?, ¡""te molan""!</div><div><br></div><div>¿El plato común?, pues «tortilla/patatas&gt;!;</div><div>&nbsp;en bares, figones, o tascas, ¡las «tapas»&gt;!;&nbsp;</div><div>""sabor nacional"", ¡el «gazpacho, sus «vinos»,</div><div>&nbsp;«sangría», y «jamón» de sabrosos cochinos!</div><div>(Cual ""sellos"", te grabas sus «Típicos Platos»;</div><div>¡sabrás por dó pasas, por sólo tu olfato!,</div><div>¡si en cada lugar, un sabor peculiar,</div><div>""al paso"" cautiva tu buen paladar!).</div><div><br></div><div>¡Son más que ""recetas""!, ¡será ""alegoria""!,</div><div>¡será ""identidad""! (¡hay ""reserva"" en su «Guía»!);</div><div>son platos allende un ""timón conductor"",</div><div>¡son mar, ríos, sierras!, ¡son valles, son flor!,</div><div>¡y aportan ""Conventos"" a gastronomía,</div><div>sus «dulces»! (sabor ""celestial"", ¡de ambrosía!).</div><div><br></div><div style=""text-align:right""><span>QUIROZ Y LOPEZ, M. Disponível em: https://pt calameo.com. Acesso em: 25 out. 2021.</span></div><div><br></div><div>Nesse poema, o eu poético enaltece a</div></div>","<div class=""exercise-answer__content dangerous-html"">característica amistosa do povo espanhol.</div>","<div class=""exercise-answer__content dangerous-html"">beleza das paisagens naturais da Espanha.</div>","<div class=""exercise-answer__content dangerous-html""><div>variedade de pratos na gastronomia espanhola.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>relação entre os sentidos do paladar e do olfato gastronomia.</div></div>","<div class=""exercise-answer__content dangerous-html"">gastronomia como representação da identidade cultural de um povo.</div>",E,"<div class=""dangerous-html""><p><br></p></div>"
